CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
01;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
01;89.07;CONSULTO INTERDISCIPLINARE DEFINITO COMPLESSIVO;Allegato 1;
01;89.12;STUDIO DELLA FUNZIONE NASALE - Rinomanometria;Allegato 1;
01;89.12.A;RINOMANOMETRIA CON TEST DI PROVOCAZIONE;Allegato 1;
01;89.37.1;SPIROMETRIA SEMPLICE;Allegato 1;
01;89.37.4;TEST DI BRONCODILATAZIONE FARMACOLOGICA  Spirometria basale e dopo somministrazione di farmaco;Allegato 1;
01;89.37.5;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO O ASPECIFICO  Curva dose-risposta  Spirometria di base e spirometrie di controllo fino ad un massimo di 13;Allegato 1;
01;89.37.6;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO  - Singolo stimolo - Spirometria di base e spirometrie di controllo fino ad un massimo di 4;Allegato 1;
01;89.38.8;TEST DI DISTRIBUZIONE DELLA VENTILAZIONE CON GAS NON RADIOATTIVI -;Allegato 1;
01;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
01;89.7.2;VALUTAZIONE CLINICA;Allegato 1;
01;91.49.2;PRELIEVO DI SANGUE VENOSO;Allegato 1;
01;91.90.A;PRICK BY PRICK CON ALLERGENI FRESCHI;Allegato 1;
01;91.90.B;TEST EPICUTANEO IN APERTO (Open test) (per singolo allergene);Allegato 1;
01;91.90.1;ESAME ALLERGOLOGICO STRUMENTALE PER ORTICARIE FISICHE;Allegato 1;
01;91.90.4;SCREENING ALLERGOLOGICO PER INALANTI;Allegato 1;
01;91.90.5;TEST EPICUTANEI A LETTURA RITARDATA (PATCH TEST);Allegato 1;
01;91.90.6;TEST PERCUTANEI E INTRACUTANEI A LETTURA IMMEDIATA;Allegato 1;
01;91.90.7;TEST DI TOLLERANZA ORALE PER ALIMENTI, FARMACI ED ADDITIVI.;Allegato 1;
01;93.82.2;TERAPIA EDUCAZIONALE DELL' ASMATICO;Allegato 1;
01;99.12;IMMUNIZZAZIONE PER ALLERGIA Desensibilizzazione;Allegato 1;
01;99.13;IMMUNIZZAZIONE PER MALATTIA AUTOIMMUNE -;Allegato 1;
05;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
05;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
07;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
07;89.7;VISITA GENERALE                                                                                       Visita specialistica, Prima visita;Allegato 1;
08;38.22;ANGIOSCOPIA PERCUTANEA - Capillaroscopia - Escluso: Angioscopia dell' occhio (95.12);Allegato 1;
08;38.22.1;CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE - Escluso: Angioscopia dell' occhio (95.12);Allegato 1;
08;39.92;INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI - Escluso: Iniezioni per varici esofagee, emorroidi (49.42);Allegato 1;
08;88.71.2;STUDIO DOPPLER TRANSCRANICO - Con analisi spettrale dopo prova fisica o farmacologica;Allegato 1;
08;88.71.3;COLOR DOPPLER TRANSCRANICO -;Allegato 1;
08;88.72.4;ECO(COLOR)DOPPLERGRAFIA CARDIACA TRANSESOFAGEA - Ecocardiografia transesofagea;Allegato 1;
08;88.72.5;ECOCARDIOGRAMMA FETALE -;Allegato 1;
08;88.72.6;ECOCARDIOGRAFIA;Allegato 1;
08;88.72.7;ECOCARDIOGRAFIA DA STRESS CON PROVA FISICA O FARMACOLOGICA;Allegato 1;
08;88.73.5;ECO(COLOR) DOPPLER DEI TRONCHI SOVRAORTICI                                               A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88.77.1;ECOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE, ARTERIOSA  O VENOSA - A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88.77.2;ECO(COLOR) DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE, ARTERIOSA O VENOSA  A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88.77.3;(LASER)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI -;Allegato 1;
08;89.01;ANAMNESI E VALUTAZIONE DEFINITE BREVI                             Storia e valutazione  abbreviata, visita successiva alla prima;Allegato 1;
08;89.41;TEST CARDIOVASCOLARE DA SFORZO CON PEDANA MOBILE - Escluso: Prova da sforzo cardiorespiratorio (89.44.1);Allegato 1;
08;89.42;TEST DA SFORZO DEI DUE GRADINI DI MASTERS -;Allegato 1;
08;89.43;TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO - Escluso: Prova da sforzo cardiorespiratorio (89.44.1);Allegato 1;
08;89.44;ALTRI TEST CARDIOVASCOLARI DA SFORZO - Test da sforzo al tallio con o senza stimolatore transesofageo;Allegato 1;
08;89.44.1;PROVA DA SFORZO CARDIORESPIRATORIO - ECG analisi gas respiratori determinazione della ventilazione emogasanalisi.;Allegato 1;
08;89.48.1;CONTROLLO E PROGRAMMAZIONE PACE-MAKER -;Allegato 1;
08;89.48.2;CONTROLLO E PROGRAMMAZIONE DEFIBRILLATORE IMPIANTABILE;Allegato 1;
08;89.50;ELETTROCARDIOGRAMMA DINAMICO - Dispositivi analogici (Holter);Allegato 1;
08;89.52;ELETTROCARDIOGRAMMA -;Allegato 1;
08;89.54;MONITORAGGIO ELETTROCARDIOGRAFICO - Telemetria  ECG con studio dei potenziali tardivi  Escluso: Elettrocardiogramma dinamico (89.50), quello durante chirurgia;Allegato 1;
08;89.54.1;MONITORAGGIO DINAMICO ECG CON CARDIO - BIP;Allegato 1;
08;89.54.2;REGISTRAZIONE ECG DEI POTENZIALI TARDIVI;Allegato 1;
08;89.54.3;ECG CON TEST PROVOCATIVI E/O PROVE FARMACOLOGICHE;Allegato 1;
08;89.54.4;ECG TRANSESOFAGEO;Allegato 1;
08;89.54.5;ECG TRANSESOFAGEO CON STUDIO ELETTROFISIOLOGICO;Allegato 1;
08;89.58.1;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI - A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89.58.2;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI E INFERIORI - A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89.58.3;FOTOPLETISMOGRAFIA DI ALTRI DISTRETTI  - A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
08;89.58.4;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI O INFERIORI - A riposo o dopo prova fisica o farmacologica  Escluso: Pletismografia di un arto (89.58.8);Allegato 1;
