CODDISCIPLINA;COD_PRESTAZIONE;DESCR_PRESTAZIONE;ELENCO DI ORIGINE;NOTE
01;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
01;89_07;CONSULTO INTERDISCIPLINARE DEFINITO COMPLESSIVO;Allegato 1;
01;89_12;STUDIO DELLA FUNZIONE NASALE Rinomanometria;Allegato 1;
01;89_12_A;RINOMANOMETRIA CON TEST DI PROVOCAZIONE;Allegato 1;
01;89_37_1;SPIROMETRIA SEMPLICE;Allegato 1;
01;89_37_4;TEST DI BRONCODILATAZIONE FARMACOLOGICA Spirometria basale e dopo somministrazione di farmaco;Allegato 1;
01;89_37_5;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO O ASPECIFICO Curva dose risposta Spirometria di base e spirometrie di controllo fino ad un massimo di 13;Allegato 1;
01;89_37_6;PROVA BRONCODINAMICA CON BRONCOCOSTRITTORE SPECIFICO Singolo stimolo Spirometria di base e spirometrie di controllo fino ad un massimo di 4;Allegato 1;
01;89_38_8;TEST DI DISTRIBUZIONE DELLA VENTILAZIONE CON GAS NON RADIOATTIVI ;Allegato 1;
01;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
01;89_7_2;VALUTAZIONE CLINICA;Allegato 1;
01;91_49_2;PRELIEVO DI SANGUE VENOSO;Allegato 1;
01;91_90_A;PRICK BY PRICK CON ALLERGENI FRESCHI;Allegato 1;
01;91_90_B;TEST EPICUTANEO IN APERTO (Open test) (per singolo allergene);Allegato 1;
01;91_90_1;ESAME ALLERGOLOGICO STRUMENTALE PER ORTICARIE FISICHE;Allegato 1;
01;91_90_4;SCREENING ALLERGOLOGICO PER INALANTI;Allegato 1;
01;91_90_5;TEST EPICUTANEI A LETTURA RITARDATA (PATCH TEST);Allegato 1;
01;91_90_6;TEST PERCUTANEI E INTRACUTANEI A LETTURA IMMEDIATA;Allegato 1;
01;91_90_7;TEST DI TOLLERANZA ORALE PER ALIMENTI_FARMACI ED ADDITIVI_;Allegato 1;
01;93_82_2;TERAPIA EDUCAZIONALE DELL ASMATICO;Allegato 1;
01;99_12;IMMUNIZZAZIONE PER ALLERGIA Desensibilizzazione;Allegato 1;
01;99_13;IMMUNIZZAZIONE PER MALATTIA AUTOIMMUNE ;Allegato 1;
05;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
05;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
07;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
07;89_7;VISITA GENERALE Visita specialistica_Prima visita;Allegato 1;
08;38_22;ANGIOSCOPIA PERCUTANEA Capillaroscopia Escluso: Angioscopia dell occhio (95_12);Allegato 1;
08;38_22_1;CAPILLAROSCOPIA CON VIDEOREGISTRAZIONE Escluso: Angioscopia dell occhio (95_12);Allegato 1;
08;39_92;INIEZIONE INTRAVENOSA DI SOSTANZE SCLEROSANTI Escluso: Iniezioni per varici esofagee_emorroidi (49_42);Allegato 1;
08;88_71_2;STUDIO DOPPLER TRANSCRANICO Con analisi spettrale dopo prova fisica o farmacologica;Allegato 1;
08;88_71_3;COLOR DOPPLER TRANSCRANICO ;Allegato 1;
08;88_72_4;ECO(COLOR)DOPPLERGRAFIA CARDIACA TRANSESOFAGEA Ecocardiografia transesofagea;Allegato 1;
08;88_72_5;ECOCARDIOGRAMMA FETALE ;Allegato 1;
08;88_72_6;ECOCARDIOGRAFIA;Allegato 1;
08;88_72_7;ECOCARDIOGRAFIA DA STRESS CON PROVA FISICA O FARMACOLOGICA;Allegato 1;
08;88_73_5;ECO(COLOR) DOPPLER DEI TRONCHI SOVRAORTICI A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88_77_1;ECOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE_ARTERIOSA O VENOSA A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88_77_2;ECO(COLOR) DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI O DISTRETTUALE_ARTERIOSA O VENOSA A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;88_77_3;(LASER)DOPPLERGRAFIA DEGLI ARTI SUPERIORI O INFERIORI ;Allegato 1;
08;89_01;ANAMNESI E VALUTAZIONE DEFINITE BREVI Storia e valutazione abbreviata_visita successiva alla prima;Allegato 1;
08;89_41;TEST CARDIOVASCOLARE DA SFORZO CON PEDANA MOBILE Escluso: Prova da sforzo cardiorespiratorio (89_44_1);Allegato 1;
08;89_42;TEST DA SFORZO DEI DUE GRADINI DI MASTERS ;Allegato 1;
08;89_43;TEST CARDIOVASCOLARE DA SFORZO CON CICLOERGOMETRO Escluso: Prova da sforzo cardiorespiratorio (89_44_1);Allegato 1;
08;89_44;ALTRI TEST CARDIOVASCOLARI DA SFORZO Test da sforzo al tallio con o senza stimolatore transesofageo;Allegato 1;
08;89_44_1;PROVA DA SFORZO CARDIORESPIRATORIO ECG analisi gas respiratori determinazione della ventilazione emogasanalisi_;Allegato 1;
08;89_48_1;CONTROLLO E PROGRAMMAZIONE PACE MAKER ;Allegato 1;
08;89_48_2;CONTROLLO E PROGRAMMAZIONE DEFIBRILLATORE IMPIANTABILE;Allegato 1;
08;89_50;ELETTROCARDIOGRAMMA DINAMICO Dispositivi analogici (Holter);Allegato 1;
08;89_52;ELETTROCARDIOGRAMMA ;Allegato 1;
08;89_54;MONITORAGGIO ELETTROCARDIOGRAFICO Telemetria ECG con studio dei potenziali tardivi Escluso: Elettrocardiogramma dinamico (89_50)_quello durante chirurgia;Allegato 1;
08;89_54_1;MONITORAGGIO DINAMICO ECG CON CARDIO BIP;Allegato 1;
08;89_54_2;REGISTRAZIONE ECG DEI POTENZIALI TARDIVI;Allegato 1;
08;89_54_3;ECG CON TEST PROVOCATIVI E/O PROVE FARMACOLOGICHE;Allegato 1;
08;89_54_4;ECG TRANSESOFAGEO;Allegato 1;
08;89_54_5;ECG TRANSESOFAGEO CON STUDIO ELETTROFISIOLOGICO;Allegato 1;
08;89_58_1;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI O INFERIORI A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89_58_2;FOTOPLETISMOGRAFIA DEGLI ARTI SUPERIORI E INFERIORI A riposo o dopo prova fisica o farmacologica;Allegato 1;
08;89_58_3;FOTOPLETISMOGRAFIA DI ALTRI DISTRETTI A riposo o dopo prova fisica o farmacologica o durante blocco anestetico;Allegato 1;
08;89_58_4;PLETISMOGRAFIA AD OCCLUSIONE VENOSA DEGLI ARTI SUPERIORI O INFERIORI A riposo o dopo prova fisica o farmacologica Escluso: Pletismografia di un arto (89_58_8);Allegato 1;
