"azienda" "tipo" "cbranca" "qta" "nomeazienda"
201 "Priv" 8 81576 "TO1"
201 "Priv" 9 2330 "TO1"
201 "Priv" 12 35 "TO1"
201 "Priv" 14 6357 "TO1"
201 "Priv" 19 756 "TO1"
201 "Priv" 32 53744 "TO1"
201 "Priv" 34 75035 "TO1"
201 "Priv" 36 49454 "TO1"
201 "Priv" 37 19146 "TO1"
201 "Priv" 38 48238 "TO1"
201 "Priv" 43 9584 "TO1"
201 "Priv" 52 18277 "TO1"
201 "Priv" 56 1152208 "TO1"
201 "Priv" 58 525 "TO1"
201 "Priv" 61 5522 "TO1"
201 "Priv" 68 992 "TO1"
201 "Priv" 69 403560 "TO1"
201 "Priv" 98 1911742 "TO1"
201 "Pub" 1 16964 "TO1"
201 "Pub" 8 56275 "TO1"
201 "Pub" 9 10034 "TO1"
201 "Pub" 12 4719 "TO1"
201 "Pub" 14 11416 "TO1"
201 "Pub" 18 2082 "TO1"
201 "Pub" 19 23827 "TO1"
201 "Pub" 21 4047 "TO1"
201 "Pub" 26 29116 "TO1"
201 "Pub" 29 79224 "TO1"
201 "Pub" 30 109 "TO1"
201 "Pub" 32 42695 "TO1"
201 "Pub" 33 55906 "TO1"
201 "Pub" 34 127030 "TO1"
201 "Pub" 35 22588 "TO1"
201 "Pub" 36 26397 "TO1"
201 "Pub" 37 59382 "TO1"
201 "Pub" 38 33167 "TO1"
201 "Pub" 39 2556 "TO1"
201 "Pub" 40 56755 "TO1"
201 "Pub" 43 13081 "TO1"
201 "Pub" 52 20852 "TO1"
201 "Pub" 56 48891 "TO1"
201 "Pub" 58 15475 "TO1"
201 "Pub" 61 2 "TO1"
201 "Pub" 64 11741 "TO1"
201 "Pub" 68 13323 "TO1"
201 "Pub" 69 115992 "TO1"
201 "Pub" 71 4224 "TO1"
201 "Pub" 79 29452 "TO1"
201 "Pub" 81 30417 "TO1"
201 "Pub" 82 4634 "TO1"
201 "Pub" 98 1974105 "TO1"
201 "Pub" 99 87245 "TO1"
202 "Priv" 8 42034 "TO2"
202 "Priv" 9 1242 "TO2"
202 "Priv" 12 2 "TO2"
202 "Priv" 14 1997 "TO2"
202 "Priv" 30 138 "TO2"
202 "Priv" 32 20670 "TO2"
202 "Priv" 34 19139 "TO2"
202 "Priv" 36 17238 "TO2"
202 "Priv" 37 845 "TO2"
202 "Priv" 38 3929 "TO2"
202 "Priv" 43 2349 "TO2"
202 "Priv" 52 2696 "TO2"
202 "Priv" 56 369152 "TO2"
202 "Priv" 58 456 "TO2"
202 "Priv" 69 232732 "TO2"
202 "Priv" 70 5444 "TO2"
202 "Priv" 98 1478468 "TO2"
202 "Pub" 1 24207 "TO2"
202 "Pub" 8 49208 "TO2"
202 "Pub" 9 16473 "TO2"
202 "Pub" 12 8583 "TO2"
202 "Pub" 14 4772 "TO2"
202 "Pub" 18 1803 "TO2"
202 "Pub" 19 27758 "TO2"
202 "Pub" 20 4889 "TO2"
202 "Pub" 21 3194 "TO2"
202 "Pub" 24 35314 "TO2"
202 "Pub" 26 1147 "TO2"
202 "Pub" 29 94932 "TO2"
202 "Pub" 30 1157 "TO2"
202 "Pub" 32 31356 "TO2"
202 "Pub" 33 42372 "TO2"
202 "Pub" 34 35094 "TO2"
202 "Pub" 35 29018 "TO2"
202 "Pub" 36 24031 "TO2"
202 "Pub" 37 53165 "TO2"
202 "Pub" 38 28773 "TO2"
202 "Pub" 39 1001 "TO2"
202 "Pub" 40 305137 "TO2"
202 "Pub" 43 20544 "TO2"
202 "Pub" 52 16947 "TO2"
202 "Pub" 56 63901 "TO2"
202 "Pub" 58 14418 "TO2"
202 "Pub" 64 5230 "TO2"
202 "Pub" 68 31243 "TO2"
202 "Pub" 69 74095 "TO2"
202 "Pub" 71 1040 "TO2"
202 "Pub" 79 48515 "TO2"
202 "Pub" 81 13605 "TO2"
202 "Pub" 82 2499 "TO2"
202 "Pub" 98 2818769 "TO2"
202 "Pub" 99 100185 "TO2"
203 "Priv" 1 626 "TO3"
203 "Priv" 8 41025 "TO3"
203 "Priv" 9 677 "TO3"
203 "Priv" 12 373 "TO3"
203 "Priv" 14 4244 "TO3"
203 "Priv" 32 14472 "TO3"
203 "Priv" 34 14183 "TO3"
203 "Priv" 36 12219 "TO3"
203 "Priv" 37 965 "TO3"
203 "Priv" 38 8905 "TO3"
203 "Priv" 43 2967 "TO3"
203 "Priv" 52 6624 "TO3"
203 "Priv" 56 340503 "TO3"
203 "Priv" 58 2224 "TO3"
203 "Priv" 68 1966 "TO3"
203 "Priv" 69 115739 "TO3"
203 "Priv" 98 225069 "TO3"
203 "Pub" 1 88686 "TO3"
203 "Pub" 8 81411 "TO3"
203 "Pub" 9 19053 "TO3"
203 "Pub" 12 2352 "TO3"
203 "Pub" 14 2586 "TO3"
203 "Pub" 18 1355 "TO3"
203 "Pub" 19 40590 "TO3"
203 "Pub" 21 1109 "TO3"
203 "Pub" 26 325 "TO3"
203 "Pub" 29 179711 "TO3"
203 "Pub" 30 3 "TO3"
203 "Pub" 32 33925 "TO3"
203 "Pub" 33 37322 "TO3"
203 "Pub" 34 58636 "TO3"
203 "Pub" 35 31886 "TO3"
203 "Pub" 36 34758 "TO3"
203 "Pub" 37 39502 "TO3"
203 "Pub" 38 34727 "TO3"
203 "Pub" 39 398 "TO3"
203 "Pub" 40 65215 "TO3"
203 "Pub" 43 17478 "TO3"
203 "Pub" 52 22484 "TO3"
203 "Pub" 56 166394 "TO3"
203 "Pub" 58 15394 "TO3"
203 "Pub" 64 13854 "TO3"
203 "Pub" 68 41749 "TO3"
203 "Pub" 69 157796 "TO3"
203 "Pub" 71 1387 "TO3"
203 "Pub" 79 15377 "TO3"
203 "Pub" 81 24101 "TO3"
203 "Pub" 82 3481 "TO3"
203 "Pub" 98 4359531 "TO3"
203 "Pub" 99 83641 "TO3"
204 "Priv" 8 36102 "TO4"
204 "Priv" 9 647 "TO4"
204 "Priv" 14 2 "TO4"
204 "Priv" 19 1225 "TO4"
204 "Priv" 36 10575 "TO4"
204 "Priv" 37 163 "TO4"
204 "Priv" 38 688 "TO4"
204 "Priv" 43 339 "TO4"
204 "Priv" 69 114884 "TO4"
204 "Priv" 98 414289 "TO4"
204 "Pub" 1 8686 "TO4"
204 "Pub" 5 172 "TO4"
204 "Pub" 8 66156 "TO4"
204 "Pub" 9 12219 "TO4"
204 "Pub" 12 1931 "TO4"
204 "Pub" 14 5302 "TO4"
204 "Pub" 18 21067 "TO4"
204 "Pub" 19 39433 "TO4"
204 "Pub" 21 2858 "TO4"
204 "Pub" 26 7509 "TO4"
204 "Pub" 29 146102 "TO4"
204 "Pub" 30 184 "TO4"
204 "Pub" 32 39081 "TO4"
204 "Pub" 33 36919 "TO4"
204 "Pub" 34 63540 "TO4"
204 "Pub" 35 27650 "TO4"
204 "Pub" 36 49988 "TO4"
204 "Pub" 37 50375 "TO4"
204 "Pub" 38 43388 "TO4"
204 "Pub" 39 2133 "TO4"
204 "Pub" 40 139502 "TO4"
204 "Pub" 43 20894 "TO4"
204 "Pub" 52 18815 "TO4"
204 "Pub" 56 315982 "TO4"
204 "Pub" 58 19203 "TO4"
204 "Pub" 61 9021 "TO4"
204 "Pub" 64 12119 "TO4"
204 "Pub" 68 13659 "TO4"
204 "Pub" 69 148165 "TO4"
204 "Pub" 70 26507 "TO4"
204 "Pub" 71 5348 "TO4"
204 "Pub" 79 112298 "TO4"
204 "Pub" 81 63768 "TO4"
204 "Pub" 82 11417 "TO4"
204 "Pub" 98 5305332 "TO4"
204 "Pub" 99 73756 "TO4"
205 "Priv" 1 1 "TO5"
205 "Priv" 8 14869 "TO5"
205 "Priv" 9 7838 "TO5"
205 "Priv" 14 28 "TO5"
205 "Priv" 19 183 "TO5"
205 "Priv" 32 16465 "TO5"
205 "Priv" 34 8451 "TO5"
205 "Priv" 36 6743 "TO5"
205 "Priv" 37 862 "TO5"
205 "Priv" 38 4014 "TO5"
205 "Priv" 43 2988 "TO5"
205 "Priv" 52 1418 "TO5"
205 "Priv" 58 98 "TO5"
205 "Priv" 68 677 "TO5"
205 "Priv" 69 58973 "TO5"
205 "Priv" 79 1552 "TO5"
205 "Priv" 98 248559 "TO5"
205 "Pub" 1 3802 "TO5"
205 "Pub" 8 47143 "TO5"
205 "Pub" 9 10558 "TO5"
205 "Pub" 12 3335 "TO5"
205 "Pub" 14 1286 "TO5"
205 "Pub" 18 1451 "TO5"
205 "Pub" 19 24018 "TO5"
205 "Pub" 21 3464 "TO5"
205 "Pub" 26 3687 "TO5"
205 "Pub" 29 61360 "TO5"
205 "Pub" 32 8723 "TO5"
205 "Pub" 33 20720 "TO5"
205 "Pub" 34 19278 "TO5"
205 "Pub" 35 11437 "TO5"
205 "Pub" 36 28086 "TO5"
